words	0	mux	area	width	height	tcycle	ReadPowTyp	WritePowTyp	leakage
3072	8	12	46830.5936	195.16	239.96	3.044	7.575	8.835	523.061
6144	8	12	83627.2416	195.72	427.28	3.322	8.053	9.429	841.7673
12288	8	12	157455.816	196.28	802.2	3.827	8.962	10.633	1478.9148
24576	8	12	305393.3232	196.84	1551.48	5.261	10.815	13.092	2753.2065
49152	8	12	602133.168	197.4	3050.32	12.672	15.477	19.011	5301.8108
3072	16	12	80895.3152	337.12	239.96	3.063	10.958	13.071	682.2211
6144	16	12	144283.9104	337.68	427.28	3.34	11.52	13.79	1028.5198
12288	16	12	271336.128	338.24	802.2	3.848	12.598	15.254	1720.5837
24576	16	12	525641.424	338.8	1551.48	5.289	14.718	18.092	3104.7027
49152	16	12	1035156.5952	339.36	3050.32	12.706	19.68	24.532	5872.9407
3072	32	12	149439.8864	621.32	240.52	3.107	18.265	21.961	1000.5446
6144	32	12	266065.1392	621.88	427.84	3.385	19.029	23.022	1402.0259
12288	32	12	499669.9344	622.44	802.76	3.893	20.461	24.965	2203.9127
24576	32	12	966920.92	623.0	1552.04	5.343	23.114	28.624	3807.6929
49152	32	12	1902406.7328	623.56	3050.88	12.763	28.76	36.098	7015.261
49152	42	12	2450728.0224	801.08	3059.28	12.807	34.868	43.709	7729.2061
3072	64	12	318131.128	1189.72	267.4	3.22	35.336	42.044	1637.1883
6144	64	12	541244.1216	1190.28	454.72	3.499	36.534	43.682	2149.0293
12288	64	12	987968.4976	1190.84	829.64	4.008	38.696	46.706	3170.5806
24576	64	12	1881125.288	1191.4	1578.92	5.466	42.469	52.045	5213.6722
3072	65	12	325214.176	1212.4	268.24	3.239	35.491	42.405	1734.8705
6144	65	12	552576.0576	1212.96	455.56	3.516	36.728	44.035	2326.9213
12288	65	12	1007804.0896	1213.52	830.48	4.025	38.954	47.12	3508.8669
24576	65	12	1917955.0208	1214.08	1579.76	5.471	42.787	52.447	5872.7823
24576	85	12	2505641.264	1569.4	1596.56	5.554	56.21	68.398	6751.5085
3072	128	12	748713.8848	2331.28	321.16	3.822	76.926	89.828	2988.2611
6144	128	12	1185694.0032	2331.84	508.48	4.058	79.02	92.786	3797.5949
12288	128	12	2060442.16	2332.4	883.4	4.464	82.729	97.85	5411.9978
3072	137	12	818894.1152	2491.16	328.72	3.949	83.605	97.609	3167.3169
6144	137	12	1285827.1888	2491.72	516.04	4.181	85.86	100.654	4007.6971
12288	137	12	2220521.7888	2492.28	890.96	4.58	89.753	105.977	5683.8584
4096	8	16	60537.1088	252.28	239.96	3.049	7.746	8.969	602.1334
8192	8	16	108033.4752	252.84	427.28	3.326	8.209	9.575	960.2967
16384	8	16	203277.48	253.4	802.2	3.832	9.114	10.783	1676.0909
32768	8	16	394013.8608	253.96	1551.48	5.263	10.97	13.23	3107.6705
65536	8	16	776367.4464	254.52	3050.32	12.68	15.637	19.158	5970.8429
4096	16	16	105956.7376	441.56	239.96	3.069	11.278	13.374	805.7808
8192	16	16	188909.0336	442.12	427.28	3.347	11.841	14.126	1200.8249
16384	16	16	355117.896	442.68	802.2	3.854	12.941	15.568	1989.8362
32768	16	16	687677.9952	443.24	1551.48	5.296	15.055	18.411	3567.8544
65536	16	16	1353732.016	443.8	3050.32	12.714	20.034	24.848	6723.9029
65536	31	16	2437612.3296	798.84	3051.44	12.773	29.03	36.132	8135.9014
4096	32	16	197255.2624	820.12	240.52	3.116	19.164	22.812	1213.0756
8192	32	16	351119.7312	820.68	427.84	3.394	19.929	23.827	1681.8681
16384	32	16	659258.6224	821.24	802.76	3.904	21.4	25.79	2617.3213
32768	32	16	1275466.472	821.8	1552.04	5.357	24.058	29.443	4488.2178
32768	63	16	2455429.3568	1555.96	1578.08	5.483	44.696	53.935	6271.4267
4096	64	16	422053.464	1578.36	267.4	3.246	38.278	44.912	2027.6586
8192	64	16	717966.5024	1578.92	454.72	3.525	39.489	46.563	2643.9633
16384	64	16	1310399.7872	1579.48	829.64	4.036	41.658	49.511	3872.2816
4096	65	16	431490.864	1608.6	268.24	3.265	38.495	45.289	2156.352
8192	65	16	733068.9296	1609.16	455.56	3.543	39.739	46.999	2879.624
16384	65	16	1336840.2656	1609.72	830.48	4.053	41.969	50.085	4321.8142
16384	127	16	2716554.9824	3078.04	882.56	4.502	89.634	107.035	6753.3268
4096	128	16	995737.3104	3100.44	321.16	3.85	84.687	100.137	3760.086
8192	128	16	1576796.48	3101.0	508.48	4.083	86.78	102.893	4773.7591
4096	137	16	1089220.2944	3313.52	328.72	3.977	91.92	109.212	3989.1907
8192	137	16	1710197.8432	3314.08	516.04	4.207	94.175	112.082	5044.3569
7168	8	28	101522.2768	423.08	239.96	3.068	8.256	9.45	824.2168
14336	8	28	181012.8992	423.64	427.28	3.345	8.723	10.047	1300.7511
28672	8	28	340293.24	424.2	802.2	3.853	9.621	11.254	2252.4865
57344	8	28	659006.6448	424.76	1551.48	5.287	11.456	13.693	4155.9562
114688	8	28	1297362.1024	425.32	3050.32	12.707	16.119	19.603	7962.8901
7168	16	28	181073.816	754.6	239.96	3.106	12.365	14.369	1146.1879
14336	16	28	322664.7648	755.16	427.28	3.384	12.932	15.086	1687.4638
28672	16	28	606238.584	755.72	802.2	3.892	14.007	16.551	2767.3239
57344	16	28	1173353.2944	756.28	1551.48	5.333	16.117	19.386	4927.0474
114688	16	28	2308604.1888	756.84	3050.32	12.748	21.111	25.801	9246.5131
114688	18	28	2560560.6208	839.44	3050.32	12.773	22.426	27.445	9567.4271
7168	32	28	341300.288	1417.36	240.8	3.22	21.959	25.515	1790.14
14336	32	28	607039.9104	1417.92	428.12	3.5	22.752	26.521	2460.8705
28672	32	28	1139096.1792	1418.48	803.04	4.008	24.17	28.53	3797.0075
57344	32	28	2202804.1728	1419.04	1552.32	5.432	26.836	32.14	6469.2683
57344	36	28	2465877.2544	1585.08	1555.68	5.459	29.778	35.63	6854.8117
7168	64	28	734438.9696	2743.72	267.68	3.625	45.447	53.848	3078.0101
14336	64	28	1248647.4	2744.28	455.0	3.904	46.63	55.423	4007.674
28672	64	28	2277997.6128	2744.84	829.92	4.415	48.828	58.498	5856.3549
7168	65	28	751104.144	2797.2	268.52	3.654	45.412	54.591	3297.8638
14336	65	28	1275330.9184	2797.76	455.84	3.932	46.649	56.108	4414.7565
28672	65	28	2324732.3232	2798.32	830.76	4.444	48.887	59.234	6637.6717
7168	73	28	861148.8928	3128.72	275.24	3.784	51.565	62.791	3619.8272
14336	73	28	1447479.7568	3129.28	462.56	4.063	52.944	64.503	4801.4681
28672	73	28	2621178.4032	3129.84	837.48	4.575	55.365	67.864	7152.5245
8192	8	32	115228.792	480.2	239.96	3.073	8.428	9.596	903.2903
16384	8	32	205419.1328	480.76	427.28	3.349	8.875	10.21	1419.2772
32768	8	32	386114.904	481.32	802.2	3.856	9.789	11.388	2449.6593
65536	8	32	747627.1824	481.88	1551.48	5.29	11.625	13.839	4510.4202
131072	8	32	1471596.3808	482.44	3050.32	12.71	16.293	19.766	8631.9255
131072	15	32	2481984.3776	813.68	3050.32	12.759	20.77	25.343	9914.3
8192	16	32	206068.0496	858.76	239.96	3.113	12.708	14.699	1269.7476
16384	16	32	367170.2496	859.32	427.28	3.391	13.267	15.427	1859.7579
32768	16	32	689795.736	859.88	802.2	3.9	14.355	16.89	3036.5808
65536	16	32	1334955.4512	860.44	1551.48	5.34	16.466	19.693	5390.2079
65536	31	32	2438824.08	1570.8	1552.6	5.435	26.917	32.213	7039.8361
8192	32	32	389238.752	1616.44	240.8	3.234	22.814	26.423	2002.6578
16384	32	32	692270.04	1617.0	428.12	3.513	23.556	27.455	2740.7171
32768	32	32	1298965.3824	1617.56	803.04	4.025	25.016	29.457	4210.4139
32768	63	32	2558441.3904	3085.88	829.08	4.425	49.582	60.261	6484.6947
8192	64	32	838470.1248	3132.36	267.68	3.648	47.034	56.791	3468.4738
16384	64	32	1425478.6	3132.92	455.0	3.926	48.247	58.405	4502.6179
12288	8	48	169920.4752	708.12	239.96	3.095	9.071	10.247	1204.7618
24576	8	48	302804.7904	708.68	427.28	3.373	9.539	10.833	1878.5756
